ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
251,3550308999261,355030876,261,3.75231,1133.63,11.86175,213.78658,346003,7387080
252,3550308999263,355030838,263,3.47028,1688.76,13.16601,249.94832,333094,7382200
253,3550308999264,355030838,264,3.78218,1062.04,11.20024,207.24268,332764,7381480
254,3550308999265,355030822,265,3.61310,1099.20,11.49222,226.85972,331880,7381090
255,3550308999266,355030822,266,3.79872,775.96,10.08006,198.75208,331573,7380440
256,3550308999267,355030822,267,3.76998,1073.27,10.94035,209.66582,332735,7379570
257,3550308999268,355030822,268,3.64763,1027.93,11.12724,218.51915,333024,7380750
258,3550308999269,355030822,269,3.73469,1083.02,11.20707,213.68369,330153,7379990
259,3550308999270,355030822,270,3.85433,849.28,10.23663,202.53785,331287,7379530
260,3550308999272,355030822,272,3.45308,2004.28,14.18654,255.79782,329584,7381890
261,3550308999274,355030816,274,3.48968,2295.08,14.42368,249.86121,329164,7380070
262,3550308999275,355030816,275,3.24387,3099.47,15.70862,297.59293,327793,7380110
263,3550308999276,355030816,276,3.26754,6241.41,19.51487,400.86957,328084,7382540
264,3550308999277,355030816,277,3.34049,3211.06,15.91484,301.16493,328304,7381260
265,3550308999278,355030871,278,3.25837,7676.10,19.02762,553.72383,327325,7383880
266,3550308999279,355030871,279,3.13398,2927.81,16.12600,282.77229,325364,7384170
267,3550308999280,355030871,280,3.05656,6317.75,18.61563,404.81423,326217,7385280
268,3550308999281,355030883,281,3.77048,2225.38,10.88275,361.26067,324481,7386750
269,3550308999282,355030883,282,3.30224,5143.67,15.98221,428.16312,323942,7385900
270,3550308999283,355030883,283,3.29745,5373.03,17.21519,448.77641,322609,7386180
271,3550308999284,355030894,284,3.50277,4977.61,16.61536,422.70991,323001,7388160
272,3550308999285,355030894,285,3.34841,4037.79,16.57199,336.42380,322831,7389380
273,3550308999286,355030894,286,3.32728,3196.98,15.31806,290.95160,322020,7388200
274,3550308999287,355030812,287,3.24458,3513.53,16.38196,309.43329,322549,7391210
275,3550308999288,355030894,288,3.68252,2054.11,13.80110,303.44655,321456,7389530
276,3550308999289,355030867,289,3.45339,2663.43,15.06941,270.89260,320181,7391300
277,3550308999290,355030867,290,3.62105,1864.67,12.59176,236.15574,321152,7391530
278,3550308999291,355030867,291,3.57545,2400.24,13.68161,239.52747,321926,7392520
279,3550308999292,355030867,292,3.79991,2106.17,12.97366,295.94471,319141,7391740
280,3550308999293,355030867,293,3.46954,2915.09,14.70399,291.03081,320495,7393180
281,3550308999294,355030842,294,3.70468,1158.25,12.11070,239.21209,320518,7405620
282,3550308999295,355030842,295,3.94342,843.37,11.07101,188.56928,322787,7407460
283,3550308999296,355030842,296,3.73448,1314.64,12.25425,239.62892,323372,7406230
284,3550308999297,355030842,297,3.78580,1048.67,11.33102,212.71665,324691,7407110
285,3550308999298,355030811,298,3.89167,905.55,10.85091,230.84752,328563,7405000
286,3550308999301,355030881,301,3.84282,1065.76,10.87884,223.33595,338074,7410490
287,3550308999302,355030828,302,3.55909,1481.61,12.52017,253.68913,348769,7400060
288,3550308999303,355030828,303,3.64001,1299.57,12.04880,235.00817,349597,7400890
289,3550308999304,355030887,304,3.82128,1080.84,11.29403,211.64069,350573,7400010
290,3550308999306,355030887,306,3.95014,531.73,8.51531,149.46769,350833,7401840
291,3550308999307,355030887,307,3.75037,988.57,10.76654,233.07139,350897,7399170
292,3550308999308,355030887,308,3.78717,1260.32,12.23257,239.84671,349735,7398890
293,3550308999309,355030887,309,3.56277,1539.54,12.42938,261.84423,351719,7399960
294,3550308999310,355030887,310,3.76780,912.41,10.80824,224.32368,351732,7399180
295,3550308999311,355030874,311,3.57203,1335.26,12.03418,254.61538,352227,7400710
296,3550308999312,355030874,312,3.43417,1485.49,12.03521,240.84545,353247,7401360
297,3550308999313,355030874,313,3.71646,1166.37,12.04410,244.58368,353849,7399960
298,3550308999314,355030837,314,3.77808,1409.06,12.70140,240.65077,350171,7397260
299,3550308999315,355030837,315,4.03770,864.90,10.54139,215.99177,351038,7397490
